Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Etten Leur;Randy Leijssen;06-64557555;RandyLeijssen@fleckens.hu;Vedelring 155;Etten-Leur;Saturday, July 14, 2018;Afhalen;Saturday, July 14, 2018;6:04 PM;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 19,90;€ 37,80;;€ 0,00;€ 37,80
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;;;;

Weert;Boyan Spek;06-83918232;BoyanSpek@teleworm.us;Mertensweg 197;Weert;woensdag 9 augustus 2017;Afhalen;woensdag 9 augustus 2017;16:45;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 10,95;€ 32,85;;€ 0,00;€ 32,85
;;;;;;;;;;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 21,90;;;;

Maastricht;Geurtje Bolte;06-22030645;GeurtjeBolte@rhyta.com;Eburonenweg 35;Maastricht;zaterdag 12 augustus 2017;Bezorgen;zaterdag 12 augustus 2017;16:00;Americana;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 76,65;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 74,65
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;€ 2,00;2;Paprikamix;€ 1,00;€ 31,90;;;;
;;;;;;;;;;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;Pepperoni;€ 1,00;€ 21,90;;;;

